Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"Murphy Street, Brighton VIC 3186",03 8534 6100,Elsternwick Primary School,Primary,Brighton,http://www.elsternwickps.vic.edu.au/,4.3
"51 Truganini Road, Carnegie VIC 3163",03 9571 2662,Carnegie Primary School,Primary,Carnegie,http://carnegieps.vic.edu.au/page/90/Contact-Details,3.4
"Cnr Kent Avenue & Croydon Road, Croydon VIC 3136",03 9723 2472,Croydon Primary School,Primary,Croydon,http://croydonps.vic.edu.au/,4.4
"150 Athol Street, Moonee Ponds VIC 3039",03 9370 6875,Moonee Ponds West Primary School,Primary,Moonee Ponds,http://mooneewestps.vic.edu.au/,3.2
"294 Mitcham Road, Mitcham VIC 3132",03 9873 1551,Mitcham Primary School,Primary,Mitcham,http://www.mitcham.ps.vic.edu.au/,3.8
"185 Surrey Road, Blackburn VIC 3130",03 9878 1483,Blackburn Primary School,Primary,Blackburn,http://www.blackburnps.vic.edu.au/,4.6
"415 Graham Street, Port Melbourne VIC 3207",03 9646 1001,Port Melbourne Primary School,Primary,Port Melbourne,http://www.portmelb.vic.edu.au/,4.1
"6 Childers Street, Mentone VIC 3194",03 9583 2995,Mentone Primary School,Primary,Mentone,http://mentoneps.vic.edu.au/,4.2
"39 West Esplanade, St Albans VIC 3021",03 9366 2832,St Albans Primary School,Primary,St Albans,http://www.stalbps.vic.edu.au/,3.8
"Canterbury Road, Toorak VIC 3142",03 9827 2959,Toorak Primary School,Primary,Toorak,http://www.toorakps.vic.edu.au/,3.6
"362 Gaffney Street, Pascoe Vale VIC 3044",03 9354 1611,Pascoe Vale Primary School,Primary,Pascoe Vale,http://www.pvps.vic.edu.au/,4.3
"1 - 23 Draper Street, Ocean Grove VIC 3226",03 5255 1340,Ocean Grove Primary School,Primary,Ocean Grove,http://www.ogps.vic.edu.au/,5
"Wales Street, Thornbury VIC 3071",03 9484 3949,Wales Street Primary School,Primary,Thornbury,http://www.walesstps.vic.edu.au/,4.2
"193 Spensley Street, Clifton Hill VIC 3068",03 9481 4666,Spensley Street Primary School,Primary,Clifton Hill,http://www.ssps.vic.edu.au/,5
"45-55 Grossmans Road, Torquay VIC 3228",03 5261 2360,Torquay P-6 College,Primary,Torquay,http://www.torquaycollege.vic.edu.au/,5
"37-45 Park Lane, Mount Waverley VIC 3149",03 9807 1480,Mount Waverley Primary School,Primary,Mount Waverley,http://www.mountwaverleyps.vic.edu.au/,3.5
"Hobart Road, Murrumbeena VIC 3163",03 9568 1300,Murrumbeena Primary School,Primary,Murrumbeena,http://www.murrumbeenaps.vic.edu.au/,3.9
"1 Sylvester Grove, Preston VIC 3072",03 9478 8895,Yarra Me School,Special,Preston,http://www.yarrame.vic.edu.au/,4
"39-49 Community Hub, Sydenham VIC 3037",03 9361 5300,Sydenham - Hillside Primary School,Primary,Sydenham,https://www.sydenham.vic.edu.au/,4.6
"Molesworth Street, Canterbury VIC 3126",03 9836 4537,Canterbury Primary School,Primary,Canterbury,http://canterburyps.vic.edu.au/,4.4
"Lorne Street, Fawkner VIC 3060",03 9357 3579,Fawkner Primary School,Primary,Fawkner,http://www.fawknerps.vic.edu.au/,4.9
"Yarralea Street, Alphington VIC 3078",03 9499 2200,Alphington Primary School,Primary,Alphington,http://www.alphinps.vic.edu.au/,4.8
"145 Studley Road, Heidelberg VIC 3084",03 9496 5324,Austin Hospital School,Special,Heidelberg,http://www.austinschool.vic.edu.au/,5
"90 Cadles Road, Carrum Downs VIC 3201",03 9782 1333,Banyan Fields Primary School,Primary,Carrum Downs,http://www.bfps.vic.edu.au/,4.1
"146 Settlement Road, Bundoora VIC 3083",03 9467 2206,Norris Bank Primary School,Primary,Bundoora,http://www.norrisbkps.vic.edu.au/,4
"Melbourne Road, Spotswood VIC 3015",03 9391 1323,Spotswood Primary School,Primary,Spotswood,http://www.spotswoodps.vic.edu.au/,4.5
"65 Buckley Street, Noble Park VIC 3174",03 9546 8811,Noble Park Primary School,Primary,Noble Park,http://www.nobleparkps.vic.edu.au/,4.2
"120 Mountain Highway, Wantirna VIC 3152",03 9801 1938,Wantirna Primary School,Primary,Wantirna,http://www.wantirnaprimary.vic.edu.au/,4.3
"34-44 Argyle Ave, Chelsea VIC 3196",03 9773 2055,Chelsea Primary School,Primary,Chelsea,http://www.chelseaps.vic.edu.au/,5
"370 Victoria Road, Thornbury VIC 3071",03 9484 1076,Penders Grove Primary School,Primary,Thornbury,http://www.pendersgroveps.vic.edu.au/,3.4
"Mcrae Street, Seaford VIC 3198",03 9786 1357,Seaford Primary School,Primary,Seaford,http://www.seafordps.vic.edu.au/,4
"225 Warrigal Road, Burwood VIC 3125",03 9808 2165,Wattle Park Primary School,Primary,Burwood,http://www.wattleparkps.vic.edu.au/page/84/Contact-Us,4
"383 Murray Road, Preston VIC 3072",03 9470 1546,Preston West Primary School,Primary,Preston,http://www.prestonwest.vic.edu.au/home/contact_us.aspx,3.7
"16-22 Hutton Street, Thornbury VIC 3071",03 9484 3254,Thornbury Primary School,Primary,Thornbury,http://thornburyps.vic.edu.au/,4
"79-99 Dalgetty Road, Beaumaris VIC 3193",03 9589 2619,Beaumaris Primary School,Primary,Beaumaris,http://www.beaups.vic.edu.au/,4.2
"109 Blyth Street, Altona VIC 3018",03 9398 2925,Altona Primary School,Primary,Altona,http://www.altonaps.vic.edu.au/,4.3
"Main Road, Hurstbridge VIC 3099",03 9718 2386,Hurstbridge Primary School,Primary,Hurstbridge,http://www.hbridgeps.vic.edu.au/,2
"185-187 Reynard Street, Coburg VIC 3058",03 9386 1286,Coburg West Primary School,Primary,Coburg,http://www.cobw.vic.edu.au/,3.8
"Scott Street, Elwood VIC 3184",03 9531 2762,Elwood Primary School,Primary,Elwood,http://www.elwoodprimary.vic.edu.au/,4
"Barloa Road, Mont Albert VIC 3127",03 9890 1331,Mont Albert Primary School,Primary,Mont Albert,http://www.maps.vic.edu.au/,3
"Duffy Street, Reservoir VIC 3073",03 9460 5798,Reservoir Primary School,Primary,Reservoir,http://www.reservoirps.vic.edu.au/,2.9
"87 Wilson Street, Moonee Ponds VIC 3039",03 9375 2511,Moonee Ponds Primary School,Primary,Moonee Ponds,http://www.mpp.vic.edu.au/,4.2
"58 Bishop Street, Yarraville VIC 3013",03 9314 5869,Kingsville Primary School,Primary,Yarraville,http://kingsvilleps.vic.edu.au/,4.4
"Langs Rd, Ascot Vale VIC 3032",03 9370 8784,Ascot Vale West Primary School,Primary,Ascot Vale,http://www.avwps.vic.edu.au/,4.3
"Milverton St, Camberwell VIC 3124",03 9889 4012,Hartwell Primary School,Primary,Camberwell,http://www.hartwellps.vic.edu.au/,3.1
"Somerville Road, Hampton Park VIC 3976",03 9799 1440,Hampton Park Primary School,Primary,Hampton Park,http://www.hpps.vic.edu.au/,4.2
"60a Rattray Road, Montmorency VIC 3094",03 9434 5944,Montmorency Primary School,Primary,Montmorency,https://www.montmorencyps.vic.edu.au/,3.4
"2-10 Pascoe Street, Pascoe Vale VIC 3044",03 9306 9481,Westbreen Primary School,Primary,Pascoe Vale,http://www.westbreenps.vic.edu.au/,4.4
"14 Rosamond Road, Footscray VIC 3011",03 9317 9047,Footscray North Primary School,Primary,Footscray,http://www.footsnth.vic.edu.au/,4.4
"Peate Avenue, Glen Iris VIC 3146",03 9889 4295,Camberwell South Primary School,Primary,Glen Iris,http://www.cambsth.vic.edu.au/,4.1
"305-311 Nepean Highway, Parkdale VIC 3195",03 9580 1451,Parkdale Primary School,Primary,Parkdale,http://www.parkdaleps.vic.edu.au/,4.8
"Brine Street, Hughesdale VIC 3166",03 9570 4808,Hughesdale Primary School,Primary,Hughesdale,http://www.hughesdaleps.vic.edu.au/,4.3
"23 Laura Street, Aspendale VIC 3195",03 9580 3255,Aspendale Primary School,Primary,Aspendale,https://www.aspendale.vic.edu.au/,4
"32 Birdwood Avenue, Dandenong VIC 3175",03 9792 2868,Dandenong West Primary School,Primary,Dandenong,http://www.dandenongwestps.vic.edu.au/,4.3
"222 - 228 Yarra Road, Croydon VIC 3136",03 9723 4182,Yarra Road Primary School,Primary,Croydon,http://www.yarrardps.vic.edu.au/,5
"1 Doone Street, Essendon VIC 3040",03 9337 8084,Aberfeldie Primary School,Primary,Essendon,http://www.aberfeldieps.vic.edu.au/,3.2
"33 Klauer St, Seaford VIC 3198",03 9786 9111,Nepean Special School,Special,Seaford,http://www.nepean.vic.edu.au/,4
"78A Oakover Road, Preston VIC 3072",03 9480 5622,Bell Primary School,Primary,Preston,http://www.bellps.vic.edu.au,3.2
"Weybridge Street, Surrey Hills VIC 3127",03 9830 1933,Chatham Primary School,Primary,Surrey Hills,http://www.chathamps.vic.edu.au/,3.4
"Fakenham Road, Ashburton VIC 3147",03 9885 2559,Ashburton Primary School,Primary,Ashburton,http://ashburtonps.vic.edu.au/,4.6
"23 Brewer Road, Bentleigh VIC 3204",03 9557 1228,Bentleigh West Primary School,Primary,Bentleigh,http://www.bentleighwestps.vic.edu.au/,4
"97 Fleetwood Drive, Narre Warren VIC 3805",03 9705 2281,Fleetwood Primary School,Primary,Narre Warren,http://www.fleetwoodps.vic.edu.au/,3.1
"180 O'Hea Street, Coburg VIC 3058",03 9354 1660,Coburg North Primary School,Primary,Coburg,http://www.coburg-north-ps.vic.edu.au/,4.5
"Winton Road, Ashburton VIC 3147",03 9885 2421,Solway Primary School,Primary,Ashburton,http://www.solwayps.vic.edu.au/,3.9
"2-26 Murphy Street, Preston VIC 3072",03 9354 2928,Newlands Primary School,Primary,Preston,http://newlandsps.vic.edu.au/,4.4
"24 Murray Road, Newborough VIC 3825",03 5127 1448,Newborough Primary School,Primary,Newborough,http://www.newboroughps.vic.edu.au/,4
"34 South Street, Moe VIC 3825",03 5127 1512,Moe (South Street) Primary School,Primary,Moe,http://www.moe-southst-ps.vic.edu.au/,4.7
"183 Roslyn Road, Belmont VIC 3216",03 5243 3538,Roslyn Primary School,Primary,Belmont,http://www.roslynps.vic.edu.au/,4.4
"Cnr Woods St & Maddox Rd, Newport VIC 3015",03 9391 2168,Newport Gardens Primary School,Primary,Newport,http://www.newportgardensps.vic.edu.au/,4.7
"300 Old Sale Road, Newborough VIC 3825",03 5126 1399,Newborough East Primary School,Primary,Newborough,http://www.neps.vic.edu.au/,4
"49 Stroud Street, Balwyn VIC 3103",03 9859 8762,Belmore School,Special,Balwyn,http://www.belmoresc.vic.edu.au/,4
"6A Ashleigh Avenue, Frankston VIC 3199",03 9789 9552,Frankston East Primary School,Primary,Frankston,http://www.frankstoneastps.vic.edu.au/,5
"58 Boldrewood Parade, Reservoir VIC 3073",03 9460 1569,Reservoir East Primary School,Primary,Reservoir,http://www.reps.vic.edu.au/,4.8
"16 Tucker Rd, Bentleigh VIC 3204",03 9557 2044,Tucker Road Bentleigh Primary School,Primary,Bentleigh,http://www.tucker-road.vic.edu.au/,4.2
"5 O'Dowds Road, Warragul VIC 3820",03 5623 4066,Warragul North Primary School,Primary,Warragul,http://www.warragulnorthps.vic.edu.au/,3.8
"26 Maxwell Street, Lalor VIC 3075",03 9465 3037,Lalor Primary School,Primary,Lalor,http://www.lalorps.vic.edu.au/,4.2
