Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,60,Metropolitan Region,Croydon (Vic.)
MULTIPOLYGON,1,9,Metropolitan Region,Croydon Hills
MULTIPOLYGON,1,8,Metropolitan Region,Croydon North
MULTIPOLYGON,1,3,Metropolitan Region,Croydon South
MULTIPOLYGON,1,0,Metropolitan Region,Dallas
MULTIPOLYGON,1,0,Metropolitan Region,Dalmore
MULTIPOLYGON,1,85,Metropolitan Region,Dandenong
MULTIPOLYGON,1,35,Metropolitan Region,Dandenong North
MULTIPOLYGON,1,0,Metropolitan Region,Dandenong South
MULTIPOLYGON,1,35,Metropolitan Region,Deepdene (Vic.)
MULTIPOLYGON,1,34,Metropolitan Region,Deer Park
MULTIPOLYGON,1,8,Metropolitan Region,Delahey
MULTIPOLYGON,1,10,Metropolitan Region,Derrimut
MULTIPOLYGON,1,0,Metropolitan Region,Devon Meadows
MULTIPOLYGON,1,0,Metropolitan Region,Dewhurst
MULTIPOLYGON,1,10,Metropolitan Region,Diamond Creek
MULTIPOLYGON,1,0,Metropolitan Region,Diggers Rest
MULTIPOLYGON,1,15,Metropolitan Region,Dingley Village
MULTIPOLYGON,1,0,Metropolitan Region,Dixons Creek
MULTIPOLYGON,1,798,Metropolitan Region,Docklands
MULTIPOLYGON,1,0,Metropolitan Region,Don Valley
MULTIPOLYGON,1,566,Metropolitan Region,Doncaster
MULTIPOLYGON,1,434,Metropolitan Region,Doncaster East
MULTIPOLYGON,1,0,Metropolitan Region,Donnybrook (Vic.)
MULTIPOLYGON,1,62,Metropolitan Region,Donvale
MULTIPOLYGON,1,0,Metropolitan Region,Doreen
MULTIPOLYGON,1,9,Metropolitan Region,Doveton
MULTIPOLYGON,1,0,Metropolitan Region,Dromana
MULTIPOLYGON,1,14,Metropolitan Region,Eaglemont
MULTIPOLYGON,1,11,Metropolitan Region,East Melbourne
MULTIPOLYGON,1,0,Metropolitan Region,East Warburton
MULTIPOLYGON,1,0,Metropolitan Region,Eden Park
MULTIPOLYGON,1,10,Metropolitan Region,Edithvale
MULTIPOLYGON,1,0,Metropolitan Region,Eildon
