,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number
253,KINGSVILLE,1,0,1
254,INVERLOCH,2,0,0
255,THE BASIN,2,0,0
256,EUROA,2,1,0
257,EUROA,2,1,0
258,PORTARLINGTON,1,0,0
259,KOO WEE RUP,2,1,0
260,EMERALD,1,1,0
261,HEATHCOTE,2,0,0
262,MONT ALBERT,1,0,0
263,BUNINYONG,2,0,0
264,QUARRY HILL,1,0,0
265,QUARRY HILL,1,0,0
266,BEVERIDGE,1,0,0
267,MOUNT CLEAR,2,1,0
268,CRIB POINT,3,0,0
269,YARRAGON,1,0,0
270,WARRANDYTE,2,0,0
271,SEABROOK,1,0,0
272,LOVELY BANKS,1,1,0
273,TRAVANCORE,0,0,1
274,PEARCEDALE,1,0,0
275,ALEXANDRA,2,1,0
276,BARWON HEADS,1,0,0
277,VIEWBANK,1,0,0
278,BITTERN,1,0,0
279,NAGAMBIE,2,0,0
280,BANNOCKBURN,2,1,0
281,HERNE HILL,0,1,0
282,ASPENDALE GARDENS,1,0,0
283,WINCHELSEA,1,0,0
284,SORRENTO,2,0,0
285,LANCEFIELD,2,0,0
286,TYABB,3,1,0
287,WARBURTON,2,0,0
288,LOWER PLENTY,1,0,0
289,HURSTBRIDGE,2,0,0
290,LAKE WENDOUREE,1,0,0
291,PRINCES HILL,0,1,0
292,YALLAMBIE,1,0,0
