,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number,PS_School_Number,School_Total,Region
579,YALLOURN NORTH,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
580,YARRA JUNCTION,3.0,1.0,1.0,1.0,4.0,EASTERN
581,YARRAGON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
582,YARRAM,2.0,1.0,0.0,0.0,3.0,GIPPSLAND
583,YARRAMBAT,1.0,0.0,0.0,0.0,1.0,NORTHERN
584,YARRAVILLE,4.0,0.0,0.0,0.0,4.0,WESTERN
585,YEA,2.0,1.0,0.0,0.0,3.0,HUME
586,YINNAR,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
587,ZEERUST,1.0,0.0,0.0,0.0,1.0,HUME
588,BRUNSWICK,0.0,2.0,0.0,0.0,2.0,NORTHERN
589,BURWOOD EAST,0.0,1.0,1.0,0.0,2.0,EASTERN
590,CAULFIELD EAST,0.0,1.0,0.0,0.0,1.0,SOUTHERN
591,HERNE HILL,0.0,1.0,0.0,0.0,1.0,BARWON
592,MCKINNON,0.0,1.0,0.0,0.0,1.0,SOUTHERN
593,MELBOURNE,2.0,6.0,0.0,2.0,6.0,WESTERN
594,MULGRAVE NORTH,0.0,1.0,0.0,0.0,1.0,EASTERN
595,PARKVILLE,0.0,1.0,0.0,0.0,1.0,WESTERN
596,TAYLORS LAKES,0.0,2.0,0.0,0.0,2.0,WESTERN
597,THORNTON,0.0,1.0,0.0,0.0,1.0,HUME
598,ROSEBUD WEST,0.0,0.0,1.0,0.0,1.0,SOUTHERN
599,APOLLO BAY,1.0,1.0,0.0,1.0,1.0,BARWON
600,BIRCHIP,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
601,BOGONG,1.0,1.0,0.0,1.0,1.0,HUME
602,CANN RIVER,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
603,CLYDE NORTH,1.0,1.0,0.0,1.0,1.0,SOUTHERN
604,DERRINALLUM,1.0,1.0,0.0,1.0,1.0,BARWON
605,DINGEE,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
606,GOROKE,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
607,HAWKESDALE,1.0,1.0,0.0,1.0,1.0,BARWON
608,KANIVA,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
609,KYABRAM,2.0,2.0,0.0,2.0,2.0,LODDEN MALLEE
610,LAKE BOLAC,1.0,1.0,0.0,1.0,1.0,GRAMPIANS
611,LAVERS HILL,1.0,1.0,0.0,1.0,1.0,BARWON
612,MACLEOD,1.0,1.0,0.0,1.0,1.0,NORTHERN
613,MALLACOOTA,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
614,MANANGATANG,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
615,MURRAYVILLE,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
616,NEWHAVEN,1.0,1.0,0.0,1.0,1.0,GIPPSLAND
617,OUYEN,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
618,SASSAFRAS,1.0,1.0,0.0,1.0,1.0,EASTERN
619,SEYMOUR,1.0,1.0,0.0,1.0,1.0,HUME
620,TIMBOON,1.0,1.0,0.0,1.0,1.0,BARWON
621,TYNONG,1.0,1.0,0.0,1.0,1.0,SOUTHERN
622,WEDDERBURN,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
623,WERRIMULL,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
624,WYCHEPROOF,1.0,1.0,0.0,1.0,1.0,LODDEN MALLEE
