,Suburb,School_Total,Crime Number,Buy Price 2017
443,SCORESBY,3.0,445,881500
530,WATSONIA,3.0,443,835000
183,FAIRFIELD,1.0,440,1461000
200,GLADSTONE PARK,4.0,438,638000
223,HAWTHORN EAST,4.0,428,2360000
167,EAGLEHAWK,4.0,428,293500
98,CASTLEMAINE,6.0,427,435000
151,DIAMOND CREEK,5.0,423,755000
5,ALBION,2.0,421,717000
191,FOREST HILL,1.0,417,1060000
31,BALWYN,5.0,417,2360000
351,MOUNT ELIZA,5.0,415,1128000
82,BURWOOD EAST,2.0,414,1115000
147,DELACOMBE,1.0,411,325000
397,PARKDALE,1.0,411,1300000
483,SYDENHAM,3.0,407,590000
426,RINGWOOD EAST,2.0,407,910000
234,HIGHTON,4.0,405,622000
19,ASHWOOD,4.0,402,1410000
71,BRIGHTON EAST,4.0,384,1880000
515,VERMONT SOUTH,4.0,384,1200500
400,PATTERSON LAKES,1.0,376,925000
539,WHITTINGTON,2.0,374,316500
300,MACLEOD,1.0,372,943500
15,ARDEER,2.0,371,600000
503,TORQUAY,2.0,370,730000
275,KYNETON,4.0,368,495000
139,DALLAS,6.0,365,430000
354,MOUNT MARTHA,2.0,365,1050000
490,TEMPLESTOWE,4.0,359,1415000
266,KINGS PARK,1.0,357,532500
491,TEMPLESTOWE LOWER,2.0,356,1301000
77,BULLEEN,4.0,356,1300000
195,FRANKSTON SOUTH,4.0,354,811000
18,ASHBURTON,3.0,354,1815000
326,MICKLEHAM,1.0,352,503000
65,BOX HILL NORTH,1.0,351,1339500
102,CAULFIELD SOUTH,5.0,347,1681500
269,KNOXFIELD,2.0,344,852500
389,OAKLEIGH SOUTH,3.0,342,1035000
84,CALIFORNIA GULLY,1.0,341,252500
540,WHITTLESEA,3.0,336,469500
83,CAIRNLEA,1.0,334,710000
390,OCEAN GROVE,3.0,331,630000
258,KERANG,4.0,329,160000
289,LEOPOLD,1.0,326,445000
559,YARRAWONGA,2.0,324,324500
60,BLACKBURN SOUTH,2.0,323,1188000
28,BALLARAT EAST,1.0,320,309500
99,CAULFIELD,2.0,316,1859000
154,DINGLEY VILLAGE,2.0,314,884000
24,AVONDALE HEIGHTS,2.0,313,850000
226,HEATHMONT,3.0,311,925000
481,SURREY HILLS,4.0,311,2160000
7,ALFREDTON,2.0,310,410000
297,LYNBROOK,2.0,309,600000
352,MOUNT EVELYN,3.0,309,640000
199,GISBORNE,4.0,303,655000
148,DELAHEY,2.0,299,542500
72,BROADFORD,2.0,298,330000
130,COWES,2.0,297,435000
431,ROSANNA,5.0,285,1172500
487,TAYLORS HILL,1.0,285,686000
66,BOX HILL SOUTH,1.0,281,1404000
39,BEACONSFIELD,2.0,278,700000
224,HEALESVILLE,5.0,278,545000
476,STRATHMORE,4.0,273,1240000
273,KORUMBURRA,3.0,273,291000
262,KIALLA,1.0,271,390000
420,REDAN,1.0,269,285000
428,ROBINVALE,2.0,267,200000
358,MURRUMBEENA,2.0,266,1420000
253,KEILOR,3.0,262,815000
42,BEAUMARIS,2.0,261,1600000
158,DONVALE,4.0,257,1200000
3,ALBANVALE,1.0,256,526500
90,CAPEL SOUND,1.0,253,546000
20,ASPENDALE,2.0,253,1122500
252,KEALBA,1.0,253,595000
504,TRAFALGAR,3.0,252,335000
288,LEONGATHA,5.0,252,320000
267,KINGSBURY,2.0,241,740000
382,NUMURKAH,3.0,238,219000
377,NIDDRIE,5.0,235,1057500
418,RED CLIFFS,4.0,234,225000
238,HUGHESDALE,1.0,233,1462500
379,NOBLE PARK NORTH,2.0,233,640000
513,UPWEY,3.0,230,680000
256,KENNINGTON,1.0,229,371000
244,IRYMPLE,5.0,228,288000
461,SPOTSWOOD,1.0,225,1040000
37,BAXTER,1.0,224,530000
327,MIDDLE PARK,1.0,224,2350000
152,DIGGERS REST,1.0,224,440500
388,OAKLEIGH EAST,2.0,223,1195000
180,EPSOM,1.0,223,352000
486,TATURA,3.0,223,257000
301,MAFFRA,3.0,223,251500
8,ALPHINGTON,3.0,219,1778500
514,VERMONT,4.0,218,1050000
44,BELGRAVE,2.0,218,620000
549,WOODEND,3.0,216,570000
61,BONBEACH,1.0,215,882500
201,GLEN HUNTLY,2.0,215,1415000
216,HAMLYN HEIGHTS,2.0,215,500000
170,EDITHVALE,1.0,214,1058500
100,CAULFIELD EAST,1.0,213,1500000
116,CLYDE,2.0,210,476000
364,NARRE WARREN NORTH,3.0,209,1115000
393,ORMOND,4.0,206,1604500
473,STRATHDALE,3.0,204,380000
386,OAK PARK,1.0,196,876500
59,BLACKBURN NORTH,2.0,194,1140000
309,MANSFIELD,5.0,194,385000
27,BALLAN,2.0,194,414000
294,LONGWARRY,1.0,190,378000
392,ORBOST,4.0,188,159000
106,CHELSEA HEIGHTS,1.0,188,750000
512,UPPER FERNTREE GULLY,1.0,188,685000
260,KEW EAST,2.0,187,1876000
429,ROCHESTER,3.0,187,242500
322,MERBEIN,1.0,186,175000
144,DAYLESFORD,4.0,183,501000
338,MONTMORENCY,4.0,181,881000
135,CRESWICK,3.0,179,311500
538,WHITE HILLS,2.0,179,300000
339,MONTROSE,2.0,178,700500
57,BLACK ROCK,2.0,176,2000000
89,CANTERBURY,5.0,175,3051000
111,CLARINDA,2.0,173,866000
492,TERANG,2.0,170,188500
315,MCKINNON,1.0,167,1725000
360,MYRTLEFORD,2.0,166,265000
430,ROMSEY,2.0,165,474000
525,WARRACKNABEAL,4.0,164,113000
469,ST LEONARDS,1.0,163,469000
298,LYSTERFIELD,1.0,162,985000
163,DRYSDALE,5.0,162,435000
268,KINGSVILLE,2.0,160,1020000
465,ST ARNAUD,2.0,159,146000
557,YARRAM,3.0,157,225000
243,INVERLOCH,2.0,157,489000
427,RINGWOOD NORTH,3.0,152,960000
493,THE BASIN,2.0,150,628000
182,EUROA,3.0,149,239000
410,PORTARLINGTON,1.0,144,515000
270,KOO WEE RUP,3.0,141,450000
177,EMERALD,2.0,138,655000
225,HEATHCOTE,2.0,138,275000
336,MONT ALBERT,1.0,136,2100000
79,BUNINYONG,2.0,134,467500
416,QUARRY HILL,1.0,130,360000
53,BEVERIDGE,1.0,130,496000
349,MOUNT CLEAR,3.0,130,345000
29,BALLARAT NORTH,2.0,130,346500
136,CRIB POINT,3.0,130,502500
556,YARRAGON,1.0,128,280000
527,WARRANDYTE,2.0,128,1029000
88,CAMPERDOWN,3.0,128,240000
445,SEABROOK,1.0,127,634000
295,LOVELY BANKS,1.0,126,460000
506,TRAVANCORE,1.0,122,1415000
402,PEARCEDALE,1.0,122,605000
6,ALEXANDRA,3.0,122,288000
554,YALLOURN NORTH,1.0,121,180000
36,BARWON HEADS,1.0,120,930500
516,VIEWBANK,1.0,120,996500
56,BITTERN,1.0,119,527500
13,APOLLO BAY,1.0,118,543500
361,NAGAMBIE,2.0,118,335000
33,BANNOCKBURN,2.0,117,430000
230,HERNE HILL,1.0,116,490000
21,ASPENDALE GARDENS,1.0,115,877500
544,WINCHELSEA,1.0,115,357000
457,SORRENTO,2.0,115,1300000
281,LANCEFIELD,2.0,114,415000
302,MAIDEN GULLY,2.0,113,472000
510,TYABB,3.0,112,510500
401,PAYNESVILLE,1.0,112,343500
524,WARBURTON,2.0,110,415000
296,LOWER PLENTY,1.0,109,964000
231,HEYFIELD,2.0,108,178500
240,HURSTBRIDGE,2.0,108,714000
433,ROSEDALE,1.0,107,255000
498,TONGALA,2.0,105,200000
278,LAKE WENDOUREE,1.0,103,790000
